timeNow,imuPosX,imuPosY,uwbPosX,uwbPosY,syncPosX,syncPosY,lightHousePosX,lightHousePosY,lightHousePosZ
1702591813.874718571,0,0,7.32812,5.02187,2.37276,0.495572,0.5855,0.1082,0.6544
1702591813.888472989,0,0,7.32812,5.02187,2.37276,0.495572,0.5855,0.1082,0.6544
1702591813.901685491,0,0,7.32812,5.02187,2.37276,0.495572,0.5855,0.1082,0.6544
1702591813.915702409,0,0,7.32812,5.02187,2.37276,0.495572,0.5856,0.1082,0.6544
1702591813.929447202,0,0,7.32812,5.02187,2.37276,0.495572,0.5856,0.1082,0.6544
1702591813.942562578,0,0,7.32812,5.02187,2.37276,0.495572,0.5856,0.1082,0.6544
1702591813.956732621,0,0,10.4792,3.91224,2.53048,0.56205,0.5856,0.1082,0.6544
1702591813.971614039,0,0,10.4792,3.91224,2.53048,0.56205,0.5856,0.1082,0.6544
1702591813.985584582,0,0,10.4792,3.91224,2.53048,0.56205,0.5856,0.1082,0.6544
1702591813.999745875,0,0,10.4792,3.91224,2.53048,0.56205,0.5856,0.1082,0.6544
1702591814.013630085,0,0,10.4792,3.91224,2.53048,0.56205,0.5856,0.1082,0.6544
1702591814.026606628,0,0,10.4792,3.91224,2.53048,0.56205,0.5857,0.1082,0.6544
1702591814.040569880,0,0,10.4792,3.91224,2.53048,0.56205,0.5857,0.1082,0.6544
1702591814.053703923,0,0,2.10417,8.22396,2.52194,0.715648,0.5857,0.1082,0.6544
1702591814.067438216,0,0,2.10417,8.22396,2.52194,0.715648,0.5857,0.1082,0.6544
1702591814.081591050,0,0,2.10417,8.22396,2.52194,0.715648,0.5857,0.1082,0.6544
1702591814.095344302,0,0,2.10417,8.22396,2.52194,0.715648,0.5857,0.1082,0.6544
1702591814.108447136,0,0,2.10417,8.22396,2.52194,0.715648,0.5857,0.1082,0.6544
1702591814.122454138,0,0,2.10417,8.22396,2.52194,0.715648,0.5855,0.1082,0.6545
1702591814.135479097,0,0,2.10417,8.22396,2.52194,0.715648,0.5855,0.1082,0.6545
1702591814.149755307,0,0,2.10417,8.22396,2.52194,0.715648,0.5855,0.1082,0.6545
1702591814.163640100,0,0,7.38646,2.46276,2.62221,0.751661,0.5855,0.1082,0.6545
1702591814.177617352,0,0,7.38646,2.46276,2.62221,0.751661,0.5855,0.1082,0.6545
1702591814.191622311,0,0,7.38646,2.46276,2.62221,0.751661,0.5855,0.1082,0.6545
1702591814.205502438,0,0,7.38646,2.46276,2.62221,0.751661,0.5855,0.1082,0.6545
1702591814.222423189,0,0,7.38646,2.46276,2.62221,0.751661,0.5856,0.108,0.6544
1702591814.236495233,0,0,7.38646,2.46276,2.62221,0.751661,0.5856,0.108,0.6544
1702591814.249436776,0,0,7.38646,2.46276,2.62221,0.751661,0.5856,0.108,0.6544
1702591814.262568485,0,0,16.8333,-1.66458,2.92286,0.700544,0.5856,0.108,0.6544
1702591814.276577528,0,0,16.8333,-1.66458,2.92286,0.700544,0.5856,0.108,0.6544
1702591814.290596780,0,0,16.8333,-1.66458,2.92286,0.700544,0.5856,0.108,0.6544
1702591814.303578864,0,0,16.8333,-1.66458,2.92286,0.700544,0.5856,0.108,0.6544
1702591814.317573616,0,0,16.8333,-1.66458,2.92286,0.700544,0.5856,0.108,0.6544
1702591814.331675700,0,0,16.8333,-1.66458,2.92286,0.700544,0.5855,0.1079,0.6541
1702591814.345360993,0,0,16.8333,-1.66458,2.92286,0.700544,0.5855,0.1079,0.6541
1702591814.359326578,0,0,8.43333,2.20104,3.0423,0.733068,0.5855,0.1079,0.6541
1702591814.372736538,0,0,8.43333,2.20104,3.0423,0.733068,0.5855,0.1079,0.6541
1702591814.386540539,0,0,8.43333,2.20104,3.0423,0.733068,0.5855,0.1079,0.6541
1702591814.400453624,0,0,8.43333,2.20104,3.0423,0.733068,0.5855,0.1079,0.6541
1702591814.413685667,0,0,8.43333,2.20104,3.0423,0.733068,0.5855,0.1079,0.6541
1702591814.428465002,0,0,8.43333,2.20104,3.0423,0.733068,0.5855,0.1082,0.6543
1702591814.442507587,0,0,8.43333,2.20104,3.0423,0.733068,0.5855,0.1082,0.6543
1702591814.455496963,0,0,7.34271,6.12292,3.13765,0.852576,0.5855,0.1082,0.6543
1702591814.469543631,0,0,7.34271,6.12292,3.13765,0.852576,0.5855,0.1082,0.6543
1702591814.482699257,0,0,7.34271,6.12292,3.13765,0.852576,0.5855,0.1082,0.6543
1702591814.497462259,0,0,7.34271,6.12292,3.13765,0.852576,0.5855,0.1082,0.6543
1702591814.510661052,0,0,7.34271,6.12292,3.13765,0.852576,0.5855,0.1082,0.6543
1702591814.524589012,0,0,7.34271,6.12292,3.13765,0.852576,0.5855,0.1082,0.6543
1702591814.539232430,0,0,7.34271,6.12292,3.13765,0.852576,0.5855,0.1081,0.6544
1702591814.552531556,0,0,13.7177,-2.14818,3.37727,0.784615,0.5855,0.1081,0.6544
1702591814.566461557,0,0,13.7177,-2.14818,3.37727,0.784615,0.5855,0.1081,0.6544
