imuDataRxTime,odomDataRxTime,uwbDataRxTime,aX,aY,aZ,wX,wY,wZ,qX,qY,qZ,qW,vXY,angleV,imuPosX,imuPosY,uwbPosX,uwbPosY,syncPosX,syncPosY,lightHousePosX,lightHousePosY,lightHousePosZ,d1,d2,d3
1702752955.584122648,1702752955.506369557,1702752955.556028437,0.397437,-0.28491,9.68455,-0.0617853,-0.00532632,0.0298274,0,0,0,1,0,0,0,0,-10.9542,0.488542,-0.00655638,-0.00153101,0.0144,0.0202,-0.19,468,470,468
1702752955.598117983,1702752955.506369557,1702752955.556028437,0.407014,-0.28491,9.69891,-0.0617853,-0.00639159,0.0319579,0,0,0,1,0,0,0,0,-10.9542,0.488542,-0.00655638,-0.00153101,0.0144,0.0202,-0.19,468,470,468
1702752955.610973776,1702752955.547514394,1702752955.556028437,0.371101,-0.28491,9.70131,-0.0617853,-0.00639159,0.0319579,0,0,0,1,0,0,0,0,-10.9542,0.488542,-0.00655638,-0.00153101,0.0144,0.0202,-0.19,468,470,468
1702752955.624993027,1702752955.547514394,1702752955.556028437,0.390255,-0.287304,9.7037,-0.0617853,-0.00426106,0.0298274,0,0,0,1,0,0,0,0,-10.9542,0.488542,-0.00655638,-0.00153101,0.0144,0.0203,-0.1899,468,470,468
1702752955.638923903,1702752955.547514394,1702752955.556028437,0.399832,-0.272939,9.72285,-0.0617853,-0.00639159,0.0308927,0,0,0,1,0,0,0,0,-10.9542,0.488542,-0.00655638,-0.00153101,0.0144,0.0203,-0.1899,468,470,468
1702752955.652894155,1702752955.590299565,1702752955.556028437,0.411803,-0.263362,9.70849,-0.0617853,-0.00426106,0.0308927,0,0,0,1,0,0,0,0,-10.9542,0.488542,-0.00655638,-0.00153101,0.0144,0.0203,-0.1899,468,470,468
1702752955.666364781,1702752955.590299565,1702752955.655839697,0.395043,-0.272939,9.68215,-0.0607201,-0.00532632,0.0308927,0,0,0,1,0,0,0,0,-10.95,4.89375,-0.00808735,-0.000846164,0.0144,0.0203,-0.1899,467,469,473
1702752955.680113366,1702752955.590299565,1702752955.655839697,0.414197,-0.248997,9.69173,-0.0607201,-0.00532632,0.0298274,0,0,0,1,0,0,0,0,-10.95,4.89375,-0.00808735,-0.000846164,0.0143,0.0202,-0.19,467,469,473
1702752955.694298284,1702752955.644436112,1702752955.655839697,0.407014,-0.253785,9.72525,-0.0617853,-0.00639159,0.0298274,0,0,0,1,0,0,0,0,-10.95,4.89375,-0.00808735,-0.000846164,0.0143,0.0202,-0.19,467,469,473
1702752955.708038410,1702752955.644436112,1702752955.655839697,0.395043,-0.275333,9.70849,-0.0617853,-0.00532632,0.0308927,0,0,0,1,0,0,0,0,-10.95,4.89375,-0.00808735,-0.000846164,0.0145,0.0202,-0.1901,467,469,473
1702752955.721138620,1702752955.644436112,1702752955.655839697,0.395043,-0.292093,9.68694,-0.0628506,-0.00532632,0.0298274,0,0,0,1,0,0,0,0,-10.95,4.89375,-0.00808735,-0.000846164,0.0145,0.0202,-0.1901,467,469,473
1702752955.736033746,1702752955.713313202,1702752955.655839697,0.397437,-0.275333,9.74201,-0.0596548,-0.00639159,0.0308927,0,0,0,1,0,0,0,0,-10.95,4.89375,-0.00808735,-0.000846164,0.0145,0.0202,-0.1901,467,469,473
1702752955.749193748,1702752955.713313202,1702752955.655839697,0.392649,-0.292093,9.68455,-0.0607201,-0.00532632,0.0298274,0,0,0,1,0,0,0,0,-10.95,4.89375,-0.00808735,-0.000846164,0.0146,0.0201,-0.1899,467,469,473
1702752955.762863874,1702752955.713313202,1702752955.755854540,0.407014,-0.292093,9.68215,-0.0617853,-0.00639159,0.0308927,0,0,0,1,0,0,0,0,-7.04167,-0.489583,-0.00914151,-0.000919414,0.0146,0.0201,-0.1899,471,469,471
1702752955.777206584,1702752955.755300082,1702752955.755854540,0.428562,-0.253785,9.70609,-0.0617853,-0.00639159,0.0308927,0,0,0,1,0,0,0,0,-7.04167,-0.489583,-0.00914151,-0.000919414,0.0146,0.0201,-0.1898,471,469,471
1702752955.790978502,1702752955.755300082,1702752955.755854540,0.42138,-0.275333,9.68694,-0.0617853,-0.00639159,0.0308927,0,0,0,1,0,0,0,0,-7.04167,-0.489583,-0.00914151,-0.000919414,0.0146,0.0201,-0.1898,471,469,471
1702752955.805172170,1702752955.796460086,1702752955.755854540,0.395043,-0.280122,9.69412,-0.0607201,-0.00639159,0.0308927,0,0,0,1,0,0,0,0,-7.04167,-0.489583,-0.00914151,-0.000919414,0.0145,0.0201,-0.1899,471,469,471
1702752955.818904130,1702752955.796460086,1702752955.755854540,0.418985,-0.280122,9.71567,-0.0628506,-0.00532632,0.0308927,0,0,0,1,0,0,0,0,-7.04167,-0.489583,-0.00914151,-0.000919414,0.0145,0.0201,-0.1899,471,469,471
1702752955.831994714,1702752955.796460086,1702752955.755854540,0.402226,-0.280122,9.71567,-0.0617853,-0.00639159,0.0308927,0,0,0,1,0,0,0,0,-7.04167,-0.489583,-0.00914151,-0.000919414,0.0145,0.0201,-0.1899,471,469,471
1702752955.845874257,1702752955.837423215,1702752955.755854540,0.411803,-0.270545,9.69891,-0.0607201,-0.00745685,0.0308927,0,0,0,1,0,0,0,0,-7.04167,-0.489583,-0.00914151,-0.000919414,0.0143,0.0201,-0.1901,471,469,471
1702752955.859553425,1702752955.837423215,1702752955.855932967,0.40462,-0.246603,9.66779,-0.0617853,-0.00532632,0.0298274,0,0,0,1,0,0,0,0,-13.9115,0.495833,-0.0113638,-0.000840008,0.0143,0.0201,-0.1901,469,474,468
1702752955.873988594,1702752955.837423215,1702752955.855932967,0.430956,-0.280122,9.68215,-0.0607201,-0.00745685,0.0319579,0,0,0,1,0,0,0,0,-13.9115,0.495833,-0.0113638,-0.000840008,0.0144,0.02,-0.19,469,474,468
1702752955.888051303,1702752955.879517136,1702752955.855932967,0.392649,-0.282516,9.73243,-0.0617853,-0.00639159,0.0319579,0,0,0,1,0,0,0,0,-13.9115,0.495833,-0.0113638,-0.000840008,0.0144,0.02,-0.19,469,474,468
1702752955.901174263,1702752955.879517136,1702752955.855932967,0.385466,-0.265756,9.67497,-0.0617853,-0.00426106,0.0298274,0,0,0,1,0,0,0,0,-13.9115,0.495833,-0.0113638,-0.000840008,0.0144,0.02,-0.1901,469,474,468
